odd,date
1.03,2021-04-25 17:38:56.079227
2.42,2021-04-25 17:39:20.346304
1.76,2021-04-25 17:39:41.572094
1.49,2021-04-25 17:39:59.747348
1.47,2021-04-25 17:40:17.915722
1.48,2021-04-25 17:40:33.062413
6.80,2021-04-25 17:41:15.461092
1.03,2021-04-25 17:41:27.574130
7.75,2021-04-25 17:42:13.058620
4.02,2021-04-25 17:42:46.405843
1.34,2021-04-25 17:43:01.541202
3.49,2021-04-25 17:43:34.817997
5.29,2021-04-25 17:44:11.188180
1.45,2021-04-25 17:44:29.378195
1.22,2021-04-25 17:44:41.490279
1.00,2021-04-25 17:44:53.620785
1.20,2021-04-25 17:45:05.717098
8.70,2021-04-25 17:45:54.119314
3.82,2021-04-25 17:46:27.423439
2.31,2021-04-25 17:46:51.684637
1.40,2021-04-25 17:47:06.852450
5.79,2021-04-25 17:47:46.281231
3.46,2021-04-25 17:48:19.567973
5.92,2021-04-25 17:48:58.969996
1.32,2021-04-25 17:49:14.130403
1.73,2021-04-25 17:49:35.356440
1.49,2021-04-25 17:49:50.488931
1.08,2021-04-25 17:50:02.600441
18.06,2021-04-25 17:51:03.235584
1.73,2021-04-25 17:51:21.383222
1.18,2021-04-25 17:51:36.514104
4.96,2021-04-25 17:52:12.859183
1.98,2021-04-25 17:52:34.067661
3.57,2021-04-25 17:53:07.379049
1.15,2021-04-25 17:53:19.480593
2.33,2021-04-25 17:53:43.692814
1.58,2021-04-25 17:54:01.852513
1.04,2021-04-25 17:54:13.978051
3.87,2021-04-25 17:54:47.282949
1.27,2021-04-25 17:55:02.426088
1.15,2021-04-25 17:55:14.534138
1.18,2021-04-25 17:55:26.661647
1.00,2021-04-25 17:55:38.767668
3.49,2021-04-25 17:56:09.066283
4.01,2021-04-25 17:56:45.409700
2.41,2021-04-25 17:57:09.658243
1.02,2021-04-25 17:57:18.766430
1.13,2021-04-25 17:57:33.922013
2.91,2021-04-25 17:58:01.194353
1.00,2021-04-25 17:58:10.277738
9.79,2021-04-25 17:59:10.924687
149.99,2021-04-25 18:00:44.791628
1.24,2021-04-25 18:00:59.896839
1.59,2021-04-25 18:01:15.029946
2.07,2021-04-25 18:01:42.305417
2.32,2021-04-25 18:02:03.523501
3.52,2021-04-25 18:02:33.854236
1.46,2021-04-25 18:02:52.029641
1.00,2021-04-25 18:03:01.122083
4.50,2021-04-25 18:03:37.488861
4.22,2021-04-25 18:04:13.828599
2.52,2021-04-25 18:04:38.070405
1.97,2021-04-25 18:04:59.270757
1.14,2021-04-25 18:05:14.405954
1.39,2021-04-25 18:05:29.551352
2.27,2021-04-25 18:05:53.768973
5.32,2021-04-25 18:06:33.153436
2.14,2021-04-25 18:06:57.366019
10.72,2021-04-25 18:07:45.841567
1.47,2021-04-25 18:08:04.001920
14.56,2021-04-25 18:08:58.533591
1.77,2021-04-25 18:09:19.723815
4.20,2021-04-25 18:09:53.031509
1.06,2021-04-25 18:10:05.132720
2.21,2021-04-25 18:10:29.373008
39.71,2021-04-25 18:11:42.064895
1.00,2021-04-25 18:11:51.137588
9.55,2021-04-25 18:12:39.597243
1.62,2021-04-25 18:12:57.763717
30.26,2021-04-25 18:14:07.444978
1.00,2021-04-25 18:14:16.519155
3.67,2021-04-25 18:14:49.796248
1.62,2021-04-25 18:15:07.958993
1.00,2021-04-25 18:15:17.078102
1.54,2021-04-25 18:15:35.293796
1.43,2021-04-25 18:15:53.445723
2.43,2021-04-25 18:16:20.732867
43.27,2021-04-25 18:17:33.417134
1.00,2021-04-25 18:17:42.493628
1.17,2021-04-25 18:17:57.621622
6.20,2021-04-25 18:18:37.025776
4.96,2021-04-25 18:19:16.360373
1.80,2021-04-25 18:19:34.571273
1.00,2021-04-25 18:19:46.673529
3.62,2021-04-25 18:20:16.959017
3.82,2021-04-25 18:20:50.325610
1.00,2021-04-25 18:21:02.458351
12.75,2021-04-25 18:21:53.941211
32.78,2021-04-25 18:23:03.661487
1.07,2021-04-25 18:23:15.790772
10.52,2021-04-25 18:24:04.236300
11.59,2021-04-25 18:24:55.808904
17.17,2021-04-25 18:25:53.375954
3.10,2021-04-25 18:26:23.718467
,2021-04-25 18:26:41.908096
1.64,2021-04-25 18:26:44.937968
1.51,2021-04-25 18:27:00.100634
2.45,2021-04-25 18:27:27.398300
1.00,2021-04-25 18:27:36.484781
1.01,2021-04-25 18:27:48.620157
2.08,2021-04-25 18:28:09.830248
2.17,2021-04-25 18:28:34.072586
1.00,2021-04-25 18:28:46.179079
1.18,2021-04-25 18:28:58.331263
1.94,2021-04-25 18:29:19.536141
1.24,2021-04-25 18:29:34.688332
1.00,2021-04-25 18:29:46.813654
1.13,2021-04-25 18:29:58.924537
1.00,2021-04-25 18:30:08.006279
34.61,2021-04-25 18:31:29.820171
5.00,2021-04-25 18:32:06.166870
1.68,2021-04-25 18:32:24.329305
10.22,2021-04-25 18:33:15.826341
1.06,2021-04-25 18:33:24.919752
1.23,2021-04-25 18:33:40.083325
57.73,2021-04-25 18:34:58.790934
5.83,2021-04-25 18:35:38.163589
1.37,2021-04-25 18:35:56.348554
4.98,2021-04-25 18:36:32.706729
6.00,2021-04-25 18:37:12.106916
2.10,2021-04-25 18:37:36.325678
16.68,2021-04-25 18:38:33.890694
6.46,2021-04-25 18:39:16.292058
1.36,2021-04-25 18:39:31.457045
5.13,2021-04-25 18:40:07.775262
3.02,2021-04-25 18:40:38.078212
6.38,2021-04-25 18:41:20.473579
1.62,2021-04-25 18:41:38.628162
2.19,2021-04-25 18:42:02.851648
4.07,2021-04-25 18:42:36.175202
8.98,2021-04-25 18:43:24.641081
1.93,2021-04-25 18:43:45.839446
1.00,2021-04-25 18:43:54.923044
3.50,2021-04-25 18:44:28.259199
1.83,2021-04-25 18:44:49.485026
19.77,2021-04-25 18:45:50.109114
2.22,2021-04-25 18:46:14.359377
3.77,2021-04-25 18:46:47.751015
1.56,2021-04-25 18:47:05.951309
1.84,2021-04-25 18:47:24.158707
1.06,2021-04-25 18:47:36.283536
2.16,2021-04-25 18:48:00.524232
1.54,2021-04-25 18:48:18.715560
2.17,2021-04-25 18:48:42.973789
7.06,2021-04-25 18:49:25.362907
1.00,2021-04-25 18:49:37.465514
2.27,2021-04-25 18:50:01.718727
5.09,2021-04-25 18:50:38.051007
1.68,2021-04-25 18:50:59.236975
1.77,2021-04-25 18:51:17.439222
2.86,2021-04-25 18:51:47.733546
1.18,2021-04-25 18:51:59.855778
5.62,2021-04-25 18:52:39.268076
18.99,2021-04-25 18:53:39.850728
1.00,2021-04-25 18:53:48.944823
3.16,2021-04-25 18:54:19.265063
1.51,2021-04-25 18:54:37.443502
6.46,2021-04-25 18:55:19.845956
4.01,2021-04-25 18:55:53.195632
1.18,2021-04-25 18:56:08.342683
3.79,2021-04-25 18:56:41.661275
1.00,2021-04-25 18:56:50.767544
6.59,2021-04-25 18:57:33.184288
1.17,2021-04-25 18:57:45.299543
1.53,2021-04-25 18:58:06.544156
4.40,2021-04-25 18:58:39.872906
1.00,2021-04-25 18:58:51.977171
1.12,2021-04-25 18:59:04.116744
2.81,2021-04-25 18:59:31.397454
208.14,2021-04-25 19:01:11.459042
1.52,2021-04-25 19:01:29.636820
4.98,2021-04-25 19:02:05.990150
3.01,2021-04-25 19:02:36.285247
1.09,2021-04-25 19:02:48.391528
1.12,2021-04-25 19:03:00.491450
1.00,2021-04-25 19:03:09.580120
1.77,2021-04-25 19:03:30.753635
1.40,2021-04-25 19:03:45.911040
1.89,2021-04-25 19:04:07.109319
2.50,2021-04-25 19:04:34.439440
8.48,2021-04-25 19:05:19.907354
1.00,2021-04-25 19:05:32.045952
1.16,2021-04-25 19:05:44.166495
3.04,2021-04-25 19:06:14.455068
4.44,2021-04-25 19:06:47.804789
1.03,2021-04-25 19:06:59.917794
1.55,2021-04-25 19:07:18.115107
1.00,2021-04-25 19:07:27.221415
2.11,2021-04-25 19:07:51.452627
8.40,2021-04-25 19:08:39.947612
1.24,2021-04-25 19:08:52.070787
5.02,2021-04-25 19:09:28.439929
3.29,2021-04-25 19:10:01.767197
1.02,2021-04-25 19:10:10.862992
1.51,2021-04-25 19:10:29.097246
2.76,2021-04-25 19:10:56.414002
1.00,2021-04-25 19:11:05.515412
1.31,2021-04-25 19:11:32.785489
1.00,2021-04-25 19:11:44.917241
1.16,2021-04-25 19:12:09.152868
1.00,2021-04-25 19:12:18.252707
3.02,2021-04-25 19:12:48.604553
1.54,2021-04-25 19:13:03.781240
4.17,2021-04-25 19:13:40.169155
2.36,2021-04-25 19:14:04.420201
1.57,2021-04-25 19:14:22.618653
4.70,2021-04-25 19:14:58.962244
2.15,2021-04-25 19:15:23.211952
12.09,2021-04-25 19:16:14.734685
1.14,2021-04-25 19:16:26.841811
6.61,2021-04-25 19:17:09.292225
1.65,2021-04-25 19:17:27.451283
1.87,2021-04-25 19:17:48.700479
1.50,2021-04-25 19:18:06.888560
1.00,2021-04-25 20:24:21.634273
1.85,2021-04-25 20:24:42.869375
1.17,2021-04-25 20:24:55.011401
